"ID","Gender","Own_car","Own_property","Work_phone","Phone","Email","Unemployed","Num_children","Num_family","Account_length","Total_income","Age","Years_employed","Income_type","Family_status","Housing_type","Occupation_type","Target","E_score"
5008804,1,1,1,1,0,0,0,0,2,15,427500,32.868573618897,12.4355736257418,"Working","Civil marriage","Rented apartment","Other",1,3
5008806,1,1,1,0,0,0,0,0,2,29,112500,58.7938150680712,3.10478654592497,"Working","Married","House / apartment","Security staff",0,1
5008808,0,0,1,0,1,1,0,0,1,4,270000,52.3214029035504,8.35335427832194,"Commercial associate","Single / not married","House / apartment","Sales staff",0,1
5008812,0,0,1,0,0,0,1,0,1,20,283500,61.5043430049898,0,"Pensioner","Separated","House / apartment","Other",0,3
5008815,1,1,1,1,1,1,0,0,2,5,270000,46.1939670219101,2.10545048837416,"Working","Married","House / apartment","Accountants",0,3
5008819,1,1,1,0,0,0,0,0,2,17,135000,48.6745107702417,3.26906096634428,"Commercial associate","Married","House / apartment","Laborers",0,1
5008825,0,1,0,0,0,0,0,0,2,25,130500,29.2107298575604,3.01991142870832,"Working","Married","House / apartment","Accountants",1,2
5008830,0,0,1,0,1,0,0,0,2,31,157500,27.4639451871017,4.02198539326612,"Working","Married","House / apartment","Laborers",1,1
5008834,0,0,1,0,0,0,0,1,2,44,112500,30.0293640526499,4.43540935132138,"Working","Single / not married","House / apartment","Other",0,1
5008836,1,1,1,0,0,0,0,3,5,24,270000,34.7413020116772,3.18418584912763,"Working","Married","House / apartment","Laborers",0,1
5008838,1,0,1,0,0,0,0,1,3,39,405000,32.4222947767579,5.51962052608883,"Commercial associate","Married","House / apartment","Managers",0,3
5008844,1,1,1,0,1,0,0,0,2,43,112500,56.1325694572784,12.1836861810989,"Commercial associate","Married","House / apartment","Drivers",0,1
5008854,0,1,1,0,0,0,0,2,4,39,135000,43.1521523371459,8.68737893317453,"Working","Married","House / apartment","Laborers",0,1
5008868,0,0,1,0,0,0,0,1,3,24,211500,44.3869483972977,19.4364018426114,"State servant","Civil marriage","House / apartment","Core staff",0,1
5008872,1,1,1,0,1,0,0,0,2,10,360000,45.6409098064984,14.6861331854864,"Commercial associate","Married","House / apartment","Security staff",1,1
5008873,0,0,1,0,0,1,0,2,4,21,126000,33.9801638637344,4.85430912339062,"Commercial associate","Married","House / apartment","Managers",0,3
5008884,0,0,1,0,0,0,1,0,1,40,315000,55.26739084307,0,"Pensioner","Widow","House / apartment","Other",0,1
5008888,0,0,1,0,0,0,0,0,1,11,247500,46.5882256309164,3.68796073841352,"Commercial associate","Separated","Rented apartment","Core staff",0,3
5008891,0,0,1,0,0,0,0,0,1,7,297000,42.4895788414547,8.85439126060083,"Commercial associate","Single / not married","Rented apartment","Laborers",0,1
5008942,0,0,0,0,1,0,0,0,2,43,157500,37.3505273893372,13.2678973558663,"Commercial associate","Married","House / apartment","High skill tech staff",1,3
5008947,1,0,1,1,1,0,0,0,2,12,135000,42.3937520962101,3.85497306583982,"Working","Married","House / apartment","Drivers",0,1
5008951,1,0,1,0,0,0,0,1,3,45,225000,28.2579382191284,7.68804287562373,"Working","Married","House / apartment","Other",0,1
5008955,0,1,1,0,0,0,0,0,2,4,135000,48.6936761192906,4.68729679596432,"Working","Married","House / apartment","Laborers",0,1
5008966,1,0,1,0,1,0,0,0,2,15,157500,43.8804356010048,2.43399932921278,"Working","Married","House / apartment","Other",1,1
5008974,0,0,1,0,0,0,1,0,2,49,112500,61.1073464889765,0,"Pensioner","Married","House / apartment","Other",0,1
5008981,1,1,1,0,1,0,0,0,2,10,112500,57.1510708638781,6.51895658363964,"State servant","Married","House / apartment","Drivers",0,1
5008991,0,1,1,1,1,0,0,0,1,30,270000,45.3999739898834,3.26906096634428,"Working","Separated","House / apartment","Cleaning staff",0,1
5008998,0,1,1,0,0,1,0,0,2,4,270000,29.0984756702739,2.26698700178648,"Working","Married","House / apartment","Managers",0,3
5009000,1,1,1,0,0,0,0,0,2,22,157500,27.1792028583749,2.26698700178648,"Working","Married","House / apartment","Drivers",0,1
5009001,1,0,1,1,1,0,0,0,2,40,166500,51.8176280142645,17.1831043758599,"Working","Married","House / apartment","Laborers",0,1
5009016,0,0,1,0,0,1,0,2,4,24,216000,42.2842358159305,8.52036660574823,"State servant","Married","House / apartment","Other",0,3
